# fs=400.0
t,ax,ay,az
0.042952,450,-86,2284
0.043079,452,-89,2318
0.043182,455,-90,2306
0.043284,459,-97,2304
0.043383,452,-88,2304
0.043482,455,-94,2306
0.043581,440,-90,2308
0.043680,457,-92,2304
0.043787,454,-82,2304
0.043894,455,-89,2306
0.043993,453,-78,2310
0.044093,448,-96,2299
0.044199,451,-100,2323
0.044298,437,-87,2303
0.044398,441,-87,2312
0.044497,451,-83,2302
0.044596,453,-84,2310
0.044694,449,-79,2308
0.044803,456,-90,2320
0.044903,471,-84,2307
0.045067,460,-88,2302
0.045168,457,-88,2320
0.045267,460,-88,2307
0.045367,445,-80,2308
0.045466,455,-86,2299
0.045601,446,-76,2325
0.045708,447,-82,2299
0.045806,455,-84,2318
0.045899,453,-75,2301
0.045992,442,-84,2305
0.046086,453,-91,2291
0.107154,455,-89,2319
0.107285,455,-90,2315
0.107396,444,-93,2315
0.107505,443,-90,2310
0.107611,454,-97,2304
0.107738,456,-88,2309
0.107844,457,-88,2315
0.107950,463,-87,2299
0.108058,452,-76,2305
0.108164,459,-97,2313
0.108269,451,-89,2289
0.108374,457,-98,2307
0.108480,452,-91,2308
0.108592,451,-104,2313
0.108722,450,-94,2302
0.108837,461,-101,2299
0.108947,443,-99,2321
0.109055,452,-94,2314
0.109160,455,-81,2312
0.109306,451,-91,2291
0.109413,456,-91,2322
0.109520,454,-97,2306
0.162074,459,-98,2310
0.162185,459,-90,2298
0.162280,448,-85,2300
0.162373,443,-74,2298
0.162464,446,-86,2296
0.162558,457,-95,2303
0.162650,457,-96,2315
0.162771,450,-88,2310
0.162871,455,-81,2309
0.162970,440,-89,2312
0.163070,448,-81,2306
0.163169,447,-82,2309
0.163269,451,-87,2323
0.163367,458,-90,2317
0.163465,448,-84,2304
0.163564,450,-90,2324
0.163662,463,-85,2298
0.163783,458,-81,2298
0.163883,447,-89,2323
0.163981,448,-79,2288
0.164079,464,-81,2294
0.164179,450,-84,2305
0.164280,447,-79,2303
0.164379,444,-93,2295
0.164479,453,-79,2312
0.164578,443,-90,2308
0.164677,446,-93,2315
0.164781,454,-90,2289
0.164880,451,-89,2307
0.203580,445,-98,2304
0.203733,445,-95,2312
0.203849,450,-79,2305
0.203958,449,-91,2310
0.204065,458,-94,2310
0.204174,447,-93,2299
0.204281,456,-91,2314
0.204387,458,-92,2311
0.204494,445,-90,2313
0.204602,456,-92,2302
0.204718,458,-86,2288
0.204825,459,-89,2298
0.204932,457,-97,2293
0.205039,449,-82,2304
0.205139,454,-83,2309
0.205245,448,-101,2302
0.205347,454,-98,2314
0.205448,451,-94,2309
0.224352,454,-76,2314
0.224485,445,-87,2298
0.224598,457,-86,2314
0.265270,452,-82,2290
0.265391,454,-90,2301
0.265494,459,-97,2293
0.265594,451,-90,2295
0.265696,445,-95,2296
0.265805,467,-95,2304
0.265904,445,-92,2318
0.266003,454,-91,2303
0.266115,447,-85,2309
0.266216,445,-86,2305
0.266314,464,-85,2298
0.266413,452,-89,2319
0.266511,448,-88,2303
0.266609,454,-86,2306
0.266712,445,-87,2326
0.266810,448,-93,2297
0.266909,462,-67,2298
0.267006,453,-91,2300
0.313566,456,-101,2306
0.313667,448,-93,2316
0.313774,450,-89,2313
0.313860,456,-91,2305
0.313943,465,-95,2289
0.314025,449,-89,2303
0.314115,465,-101,2304
0.314233,449,-79,2302
0.314315,462,-80,2306
0.314396,454,-77,2313
0.314480,449,-96,2290
0.314562,450,-94,2318
0.314644,445,-85,2320
0.314730,450,-83,2284
0.314813,468,-84,2290
0.314896,446,-89,2298
0.314978,452,-87,2301
0.315062,453,-85,2308
0.315145,447,-93,2306
0.315228,461,-92,2302
0.315310,449,-91,2291
0.348205,450,-95,2313
0.348302,442,-93,2305
0.348387,452,-90,2313
0.348469,454,-93,2306
0.348551,449,-78,2311
0.348634,455,-89,2298
0.348722,455,-85,2312
0.348803,445,-89,2311
0.348885,454,-80,2303
0.348966,447,-93,2307
0.349047,451,-87,2312
0.349128,452,-83,2298
0.349209,457,-78,2305
0.349290,457,-78,2307
0.349372,453,-91,2309
0.367340,451,-81,2307
0.367441,449,-85,2307
0.367527,454,-92,2301
0.367612,435,-88,2298
0.367695,461,-80,2309
0.367792,451,-81,2310
0.367881,460,-95,2303
0.368024,467,-88,2297
0.392052,459,-82,2295
0.392147,448,-97,2298
0.392229,448,-89,2305
0.392308,437,-98,2311
0.392391,460,-100,2336
0.392474,446,-102,2345
0.392553,447,-91,2279
0.392635,451,-108,2278
0.392721,447,-91,2311
0.392798,463,-94,2316
0.440440,462,-89,2294
0.440599,451,-97,2299
0.440724,446,-92,2304
0.440821,454,-97,2311
0.440916,454,-83,2308
0.441010,452,-92,2302
0.441103,463,-78,2299
0.441196,451,-90,2304
0.441291,457,-90,2310
0.441383,440,-95,2316
0.441476,440,-88,2296
0.441569,445,-85,2298
0.441662,459,-92,2306
0.441791,452,-83,2304
0.441884,450,-83,2294
0.441978,459,-82,2307
0.475157,449,-69,2293
0.475257,455,-92,2300
0.475343,447,-95,2300
0.475426,461,-83,2306
0.475510,456,-87,2313
0.475593,447,-75,2302
0.475675,460,-80,2314
0.475781,457,-79,2313
0.475866,466,-86,2299
0.475950,461,-98,2302
0.476034,466,-87,2298
0.476120,449,-94,2295
0.476210,451,-79,2295
0.476299,453,-90,2318
0.476388,448,-78,2293
0.476476,447,-82,2324
0.502341,456,-83,2297
0.502463,441,-106,2295
0.502559,443,-76,2312
0.502659,466,-105,2317
0.502759,449,-85,2306
0.502853,447,-95,2301
0.502946,455,-96,2304
0.503040,453,-93,2294
0.503133,445,-95,2322
0.503226,443,-79,2315
0.544534,443,-99,2307
0.544632,455,-86,2300
0.544723,443,-91,2285
0.544810,442,-105,2300
0.544892,446,-82,2305
0.544979,458,-104,2308
0.545062,453,-90,2301
0.545143,451,-84,2294
0.545224,447,-89,2319
0.587287,450,-91,2301
0.587389,444,-87,2307
0.587474,453,-90,2301
0.587559,460,-84,2318
0.587641,461,-93,2306
0.587741,449,-90,2301
0.587824,451,-87,2293
0.587906,454,-79,2310
0.587988,459,-87,2299
0.588070,459,-91,2287
0.588154,453,-93,2287
0.588237,453,-89,2287
0.588319,462,-89,2300
0.588402,446,-92,2302
0.588485,455,-96,2297
0.588567,450,-91,2299
0.588650,453,-87,2317
