# fs=400.0
t,ax,ay,az
0.020732,40,18,2181
0.020845,38,22,2146
0.020938,56,11,2170
0.021027,33,12,2143
0.021111,34,7,2167
0.021200,33,10,2166
0.021288,30,11,2171
0.021372,42,5,2177
0.021460,37,-1,2168
0.021551,45,4,2157
0.021638,47,12,2154
0.021726,41,11,2153
0.021809,40,4,2167
0.021896,34,16,2160
0.021983,36,13,2158
0.022065,44,8,2158
0.022155,31,12,2167
0.022237,45,1,2151
0.022324,22,14,2170
0.022411,46,12,2170
0.022502,29,7,2167
0.022590,37,17,2158
0.022678,45,15,2166
0.022760,27,9,2158
0.022848,45,10,2161
0.022932,39,6,2164
0.023021,27,4,2162
0.023110,34,2,2157
0.023201,31,8,2168
0.023289,21,3,2158
0.023398,36,-2,2156
0.023492,43,9,2149
0.023582,47,6,2142
0.023677,21,20,2163
0.023773,34,15,2157
0.023862,38,1,2179
0.023957,47,10,2164
0.024052,41,-5,2151
0.024142,32,7,2161
0.024231,43,9,2152
0.024325,34,14,2163
0.024419,39,13,2158
0.024548,46,16,2155
0.075012,40,3,2168
0.075107,45,8,2157
0.075187,39,9,2140
0.075269,36,5,2160
0.075353,41,18,2163
0.075436,49,11,2159
0.075531,33,-1,2155
0.075614,40,14,2178
0.075697,42,12,2155
0.120110,43,8,2148
0.120228,45,16,2152
0.120323,39,2,2156
0.120416,29,1,2151
0.120516,40,7,2167
0.120607,40,8,2149
0.120699,37,7,2157
0.120788,33,8,2179
0.120873,40,4,2172
0.120958,39,4,2170
0.134643,33,9,2155
0.134766,37,17,2173
0.134859,38,7,2169
0.134951,41,5,2169
0.135044,34,6,2172
0.135133,33,5,2174
0.135228,44,20,2167
0.135317,48,0,2162
0.135412,34,17,2171
0.135516,45,6,2160
0.135606,48,4,2171
0.135695,38,4,2160
0.135784,32,3,2157
0.150717,41,12,2165
0.150825,42,10,2150
0.150929,45,3,2156
0.151031,41,8,2153
0.151123,45,21,2167
0.151207,39,6,2175
0.151297,42,18,2169
0.189931,46,15,2169
0.190027,27,11,2162
0.190103,39,7,2151
0.190184,36,-1,2149
0.190262,49,10,2166
0.190340,42,13,2140
0.190419,33,-2,2153
0.190561,36,2,2155
0.190655,44,24,2169
0.190736,42,11,2167
0.190811,35,4,2144
0.190886,27,8,2167
0.190959,43,4,2176
0.191037,35,13,2148
0.191112,42,4,2156
0.223337,32,4,2167
0.223427,35,8,2172
0.223521,37,3,2167
0.223611,43,-4,2147
0.223685,40,8,2156
0.223758,41,8,2158
0.223830,28,6,2172
0.223903,30,3,2169
0.223976,43,8,2159
0.224054,41,-4,2173
0.224133,28,10,2151
0.224205,28,5,2166
0.254829,36,1,2172
0.254932,22,4,2161
0.255018,31,8,2173
0.255109,37,15,2161
0.255192,38,3,2186
0.255281,27,10,2155
0.255364,37,6,2167
